timestamp,duration,initial_mode,end_line_reason,bias,first_6_outcomes,profit,all_outcomes_first_shoe,all_outcomes_second_shoe
20250329_223850,17,PPP,"only 1 cube value left, higher than 100 and in profit",,BPBPBB,367.5,BPBPBBBPPPPBBBBPBPPBBBPBPPPBBPPBPBTBBBBPBBPBB,
20250329_225706,17,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBPB,368.5,PBBBPBTPBPPBTTBPBTBBPTPBPPBTBBBTBBBPBTTPPBB,
20250329_231332,14,BBB,"contradicting bias (BBB mode, 89.7% banker wins)",,BBPPPP,180.0,BBPPTPPBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBPPBPPTPBPPTPBTPBBTBPPPBBPPPPPP,
20250329_233106,13,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBBP,393.5,PTBBBBPBTBBPBPBBPBBBTBPTBPTBPBPBPPPPBPB,
20250330_132840,18,PPP,few cubes with bad streaks (2+ streaks),,BBBPPB,232.5,BBBPPBTPBPPBBPBBTPPTPPPBPPPPBPPBBBBPPBBPPPBPPBBBB,
20250330_135453,20,BBB,few cubes with bad streaks (2+ streaks),,BPPPPB,300.5,BPPPPBPPPBPBPPBBPPBBBPBBPPBBPTBBTPTBPPBPTBPBPBTPPTPBBBB,
20250330_141127,16,BBB,"only 1 cube value left, higher than 100 and in profit",,PBPPPB,430.0,PBPPPBPBPBPTPPPPPPPBBBPPPBBPBPPPBPBBPBPPP,
20250330_152718,9,Banker Only,Second shoe exit: Only 1 cube left,B,,243.0,,BBBBPBPPBBPBBPPBB
20250330_154719,12,Banker Only,Second shoe exit: Only 1 cube left,B,,386.0,,BBBBPBPBPTPBBBPPBPBB
20250330_165214,4,PPP,Second shoe exit condition met,B,,351.0,,PBBBBBBBBBB
20250330_170151,5,PPP,Second shoe exit condition met,B,,234.5,,BBBBPPPPPPBP
20250330_171412,10,PPP,Second shoe exit condition met,B,,-202.0,,BPBPBBPPBBPPBPPBPPBPBPBTPBBT
20250330_172254,5,PPP,Second shoe exit condition met,B,,302.0,,BTBBBPBBBBBBPBTBTBPB
20250330_173923,11,PPP,Second shoe exit condition met,B,,437.0,,BBBBPBPPBBPBPBBB
20250330_174801,7,PPP,Second shoe exit condition met,B,,242.0,,PBBBBTBTBPPBBBB
20250330_194147,12,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,PPPBBP,201.25,PTPPBBPPPPPPPBBBPTBPBPPBBPPPBBBPBBBBP,
20250330_205631,15,PPP,"only 1 cube value left, higher than 100 and in profit",,BBBPPB,372.5,BBBPPBBBBPBBPBTPPTBPBBBBBTBBPPPBPBBBBPTBBBB,
20250330_211417,17,PPP,few cubes with bad streaks (2+ streaks),,BBBBPP,280.0,BBBBPPBBPPBBPPTBPBPBTPBPPPBTPBPBTBPPPBBBTPBTBBB,
20250330_214459,30,PPP,Shoe finished,,BPBBBB,-1182.0,BPBBBBTBPPPPPTBBTPPPPPBPPPPPBBPPPPPBBBPPPBBPTPPPPPPBTBPPPPPPBTPBPPBTPB,
20250330_221634,29,BBB,Shoe finished,P,BBPPPP,-3104.5,BBPPPPTTBPBPPBPPBPBPPBPBBBPBPBBPPPBTPBPBBPBPPBBBPBPPPBBBTBBBBBBPPBBTPBBTBP,
20250331_210409,17,BBB,"only 1 cube value left, higher than 100 and in profit",P,PPBPBP,430.0,PPBPBPPPBBBPPPBPPPBPPBBPBTPPBTPBBPPBBPPPPPBTPP,
20250331_211432,9,PPP,"only 1 cube value left, lower than 20",,BBBPBB,377.0,BBBPBBBBBPPBBBBTBBBBBPPPPBPB,
20250331_213433,17,PPP,"only 1 cube value left, higher than 100 and in profit",B,BBBPPB,370.5,BBBPPBBBPBPPPBBBBBBBBBPTBBPPTBTPBPBPBPBBPPBPBPBB,
20250331_215656,16,BBB,few cubes with bad streaks (2+ streaks),,BPPPPP,330.5,BPPPPPTBTBPBPBBBBPPPPBPPPPBBBPBTPBPPBBPPPPTP,
20250402_092109,15,BBB,"contradicting bias (BBB mode, 60.0% banker wins)",,BPBPPP,273.5,TBPBPPPBPBPBBBBPTBBPPTPBBPTPBPBPPBTBTBBPBB,
20250402_094248,18,PPP,few cubes with bad streaks (2+ streaks),,BBBBBP,253.0,BBBBBPBPPBBBTBTPPBBBBPPPTPTPPBTBPPBPBTTBTPPTPP,
20250402_101127,22,BBB,few cubes with bad streaks (2+ streaks),,PPPPBB,317.0,PPPPBBTPBBBPBPBBBBPBPPTPBPBPBPPBBPBBPBTPBBPBPPPTBPPPBPP,
20250402_104658,30,PPP,Shoe finished,,PBBBPB,-1074.5,PBTBBPBBTBPBPPPBPBTPBPPBBPPBBBBPPPBPBPPTPPBTPPBBBPBPPBBTBBPPTBPPBPBPPP,
20250402_110620,14,PPP,few cubes with bad streaks (2+ streaks),,BPBBPB,334.5,BPTBBPBPPPTPBBPBBPBPBBPTPPPPBBPTPBBBBB,
20250402_112541,16,BBB,few cubes with bad streaks (2+ streaks),,PBPPBP,346.0,PBPPBPPTPBBPPPPBPPBBPTBBBPBBTBBTBTBBPBPBPP,
20250402_113659,10,BBB,"only 1 cube value left, lower than 20",,BPBPPP,410.0,BPBPTPPBBPPBPPTBBPBPPPBPPPPPP,
20250402_120329,25,BBB,"decent profit with many bad streaks (150+, 3 streaks)",P,PBBPPP,187.0,PBBPPPBPBPBBPTPPBBBBPPBTTTBBBPBPPBPTPBBPPPBBBPBPPPPBTTPTBP,
20250402_122231,16,BBB,"only 1 cube value left, higher than 100 and in profit",,BBPPPP,425.0,BBPPPPPTTBPPTPBBPPBBPBPBPPPTPBPPBPBBBBBBPB,
20250402_123604,12,PPP,few cubes with bad streaks (2+ streaks),,PPBBBB,327.5,PPBBBBBPPBPPBBBBBPBPPBBBPPPPTTBPPPTBB,
20250402_124948,12,BBB,"only 1 cube value left, higher than 100 and in profit",P,PPPPBP,440.0,TPPPPBPBPBPPPPBPTPBBPBPPPPPBTBPBBPPP,
20250402_132753,37,PPP,Shoe finished,,BPBBBP,-869.5,BPBBBPPPBTTPPPBBTPTTBPPPBPPPPBPPBPPPTBPBPPPPPBPPPPPPBTPBPPTBPBPBPBPBPPBBB,
20250402_133328,4,BBB,"contradicting bias (BBB mode, 80.0% banker wins)",P,BPPPPP,220.5,BPPPPPBBBBBBPBPB,
20250402_140321,29,BBB,Shoe finished,,BPPPPB,-1610.0,BTPPPPBPPBBPBBBPTBPPBBBBPBBBPBBBTPTPTPTBPBBBPPPPBBPPBBBPBBBPBPTBBPPPBB,
20250402_170332,15,PPP,max drawdown reached (-4000),B,,-4800.5,,PBPTBBBBTBPPBPPPPPBPB
20250402_204125,16,BBB,"only 1 cube value left, higher than 100 and in profit",,PBPPPP,425.0,PBPPPPPPPPBBTPPBPTBBPPBPBBPBBTBPPBPPPPPP,
